City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ahipara,-35.1667,173.1667,65.93,89,100,0.78,NZ,1680381264
83,port-cartier,50.0334,-66.8654,30.74,98,100,17.02,CA,1680381265
84,aswan,24.0934,32.907,70.9,19,0,4.61,EG,1680381221
85,umea,63.8284,20.2597,30.13,80,0,8.05,SE,1680381266
86,portland,45.5234,-122.6762,49.84,87,75,8.05,US,1680380850
87,dighwara,25.7333,85.0,71.67,78,31,3.44,IN,1680381267
88,saskylakh,71.9167,114.0833,15.78,91,100,16.08,RU,1680381267
89,faya,18.3851,42.4509,60.91,83,87,6.38,SA,1680381268
90,richards bay,-28.783,32.0377,69.75,92,6,3.8,ZA,1680381187
91,san patricio,28.017,-97.5169,89.17,52,98,13.04,US,1680381269
92,freeport,40.6576,-73.5832,73.42,77,20,20.71,US,1680380971
93,anadyr,64.75,177.4833,3.7,77,0,17.9,RU,1680381270
94,mogadishu,2.0371,45.3438,81.66,75,31,13.29,SO,1680381270
95,bredasdorp,-34.5322,20.0403,61.38,95,0,4.97,ZA,1680381271
96,carnarvon,-24.8667,113.6333,74.91,77,74,12.46,AU,1680381271
97,ponta do sol,32.6667,-17.1,72.72,67,1,6.73,PT,1680381272
98,tiksi,71.6872,128.8694,0.41,80,95,25.1,RU,1680381273
99,georgetown,5.4112,100.3354,82.33,89,20,2.3,MY,1680381273
100,plettenberg bay,-34.0527,23.3716,62.26,73,0,2.17,ZA,1680381274
101,dikson,73.5069,80.5464,7.34,100,100,5.08,RU,1680381274
102,shimoda,34.6667,138.95,56.89,85,95,15.86,JP,1680381274
103,singkang,2.1006,102.7994,74.43,94,93,2.51,MY,1680381275
104,santa maria do suacui,-18.1903,-42.4142,79.54,41,96,2.66,BR,1680381275
105,kununurra,-15.7667,128.7333,76.98,88,5,5.75,AU,1680381020
106,vanderhoof,54.0166,-124.0198,38.53,70,69,10.18,CA,1680381026
107,tuktoyaktuk,69.4541,-133.0374,-7.6,71,0,13.8,CA,1680381276
108,torbay,47.6666,-52.7314,39.97,48,40,17.27,CA,1680381277
109,kenai,60.5544,-151.2583,35.69,47,0,12.66,US,1680381277
110,qaanaaq,77.484,-69.3632,-11.24,73,6,3.74,GL,1680381278
111,nelson bay,-32.7167,152.15,60.01,96,63,11.01,AU,1680381278
